"biotypes"	"length"	"gc"
"ENSG00000111671"	"protein_coding"	1004	59.25
"ENSG00000212040"	"miRNA"	78	38.46
"ENSG00000110514"	"protein_coding"	2762	55.25
"ENSG00000184381"	"protein_coding"	988	59.92
"ENSG00000086015"	"protein_coding"	2089	53.33
"ENSG00000211769"	"TR_J_gene"	48	66.67
"ENSG00000211768"	"TR_J_gene"	50	60.00
"ENSG00000204228"	"protein_coding"	961	59.83
"ENSG00000255071"	"processed_transcript"	743	53.03
"ENSG00000211767"	"TR_J_gene"	49	59.18
"ENSG00000211766"	"TR_J_gene"	46	69.57
"ENSG00000211765"	"TR_J_gene"	51	56.86
"ENSG00000211764"	"TR_J_gene"	50	60.00
"ENSG00000169740"	"protein_coding"	874	48.89
"ENSG00000215869"	"processed_transcript"	1225	56.00
"ENSG00000261609"	"lincRNA"	4185	45.84
"ENSG00000261608"	"pseudogene"	778	60.41
"ENSG00000261607"	"pseudogene"	271	50.92
"ENSG00000261606"	"processed_transcript"	4960	58.99
"ENSG00000215866"	"lincRNA"	1096	54.41
"ENSG00000261604"	"antisense"	1384	36.16
"ENSG00000215860"	"pseudogene"	2424	45.81
"ENSG00000261602"	"antisense"	575	38.26
"ENSG00000261600"	"lincRNA"	528	26.52
"ENSG00000266468"	"miRNA"	59	59.32
"ENSG00000266469"	"antisense"	860	46.40
"ENSG00000168298"	"protein_coding"	785	60.38
"ENSG00000266462"	"miRNA"	70	54.29
"ENSG00000266463"	"miRNA"	64	75.00
"ENSG00000266460"	"lincRNA"	597	46.06
"ENSG00000266461"	"miRNA"	84	63.10
"ENSG00000266466"	"antisense"	965	49.33
"ENSG00000266467"	"misc_RNA"	298	55.37
"ENSG00000266465"	"miRNA"	70	54.29
"ENSG00000262558"	"antisense"	913	57.72
"ENSG00000262559"	"protein_coding"	824	47.03
"ENSG00000212072"	"miRNA"	104	34.62
"ENSG00000185436"	"protein_coding"	1825	58.73
"ENSG00000212070"	"miRNA"	107	34.58
"ENSG00000238413"	"misc_RNA"	112	44.64
"ENSG00000212076"	"miRNA"	70	54.29
"ENSG00000262557"	"3prime_overlapping_ncrna"	2929	38.07
"ENSG00000262554"	"pseudogene"	208	51.92
"ENSG00000212075"	"miRNA"	91	35.16
"ENSG00000225108"	"pseudogene"	1456	65.18
"ENSG00000184384"	"protein_coding"	5820	47.46
"ENSG00000248287"	"pseudogene"	247	45.34
"ENSG00000225100"	"pseudogene"	326	58.59
"ENSG00000225101"	"pseudogene"	798	50.80
"ENSG00000225102"	"antisense"	276	38.77
"ENSG00000225105"	"processed_transcript"	302	53.31
"ENSG00000225106"	"antisense"	808	56.19
"ENSG00000225107"	"lincRNA"	833	42.98
"ENSG00000221489"	"miRNA"	80	47.50
"ENSG00000221488"	"miRNA"	94	29.79
"ENSG00000226455"	"antisense"	647	52.70
"ENSG00000226454"	"sense_intronic"	421	49.17
"ENSG00000226453"	"lincRNA"	822	45.62
"ENSG00000226450"	"pseudogene"	1490	63.15
"ENSG00000221484"	"miRNA"	113	43.36
"ENSG00000221487"	"miRNA"	116	33.62
"ENSG00000226458"	"sense_intronic"	941	39.96
"ENSG00000250334"	"lincRNA"	2066	41.75
"ENSG00000183055"	"pseudogene"	704	36.65
"ENSG00000183054"	"protein_coding"	2592	41.54
"ENSG00000255076"	"sense_intronic"	309	45.63
"ENSG00000181562"	"protein_coding"	927	42.39
"ENSG00000203871"	"protein_coding"	1477	46.62
"ENSG00000250566"	"pseudogene"	973	38.23
"ENSG00000250567"	"lincRNA"	555	36.22
"ENSG00000250564"	"lincRNA"	669	42.90
"ENSG00000250565"	"protein_coding"	1318	48.10
"ENSG00000250562"	"pseudogene"	214	40.65
"ENSG00000250563"	"pseudogene"	1378	51.31
